,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,blue_top_lane_first_tower,blue_mid_lane_first_tower,blue_bot_lane_first_tower,red_top_lane_first_tower,red_mid_lane_first_tower,red_bot_lane_first_tower,blue_earth_dragon,blue_air_dragon,blue_fire_dragon,blue_water_dragon,blue_elder_dragon,red_earth_dragon,red_air_dragon,red_fire_dragon,red_water_dragon,red_elder_dragon,blueWins
5662,27540,2560,46,9.2,295,72,0,17,11,21,34,11,0,0,0,0,0,0,0,1,2,1,28839,1181,46,9.2,372,69,0,11,17,21,33,7,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
12339,25858,4348,46,9.2,355,88,0,9,9,11,29,12,1,0,1,0,1,0,0,0,1,1,28281,4841,45,9.0,353,79,0,9,9,13,31,8,0,0,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
23217,25072,4092,45,9.0,336,56,0,10,15,15,35,14,0,0,0,0,0,0,0,0,0,1,28533,5806,48,9.6,386,72,0,15,10,23,42,13,1,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11032,24142,2607,45,9.0,290,80,0,10,16,11,32,10,0,0,1,0,0,1,0,1,1,0,29485,3365,48,9.6,353,63,0,16,10,15,30,10,1,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
24973,23557,2992,46,9.2,353,79,0,5,9,6,30,4,0,0,0,0,0,0,0,0,0,0,28031,5334,47,9.4,419,97,0,9,5,14,34,4,1,0,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17125,26995,3750,45,9.0,347,92,0,10,14,13,33,11,1,0,1,0,1,0,0,0,0,1,29310,2645,47,9.4,406,87,0,14,10,12,32,14,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
15243,31239,4683,47,9.4,349,63,0,15,16,17,32,7,1,0,3,1,1,1,0,0,0,1,25612,3162,47,9.4,294,86,0,16,15,13,109,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
19344,28405,5780,45,9.0,316,72,0,17,15,26,25,4,0,0,0,0,0,0,0,0,1,1,28698,5103,47,9.4,336,75,0,15,17,18,23,7,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
17837,27884,2754,47,9.4,357,73,0,11,5,28,22,7,1,0,1,0,1,0,0,0,1,1,23319,3439,44,8.8,344,104,0,5,11,7,27,3,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
8292,49980,7280,74,14.8,186,0,0,43,37,92,15,0,1,0,1,1,0,0,0,0,0,0,47936,2296,73,14.6,159,0,0,37,43,87,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
